"id" "make" "model" "year" "class" "trans" "drive" "cyl" "displ" "fuel" "hwy" "cty"
33566 "Acura" "ILX" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 2 "Premium" 35 24
33567 "Acura" "ILX" 2014 "Compact Cars" "Manual" "Front-Wheel Drive" 4 2.4 "Premium" 31 22
33607 "Acura" "ILX Hybrid" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 1.5 "Premium" 38 39
33517 "Acura" "RLX" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 6 3.5 "Premium" 31 20
34596 "Acura" "RLX Hybrid" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3.5 "Premium" 32 28
34341 "Acura" "TL 2WD" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 6 3.5 "Premium" 29 20
34342 "Acura" "TL 4WD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3.7 "Premium" 26 18
34343 "Acura" "TL 4WD" 2014 "Midsize Cars" "Manual" "All-Wheel Drive" 6 3.7 "Premium" 25 17
34334 "Acura" "TSX" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Premium" 31 22
34335 "Acura" "TSX" 2014 "Compact Cars" "Manual" "Front-Wheel Drive" 4 2.4 "Premium" 29 21
34336 "Acura" "TSX" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 6 3.5 "Premium" 28 19
34360 "Acura" "TSX Wagon" 2014 "Station Wagons" "Automatic" "Front-Wheel Drive" 4 2.4 "Premium" 30 22
33448 "Aston Martin" "DB9" 2014 "Minicompact Cars" "Automatic" "Rear-Wheel Drive" 12 5.9 "Premium" 19 13
33450 "Aston Martin" "Rapide S" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 12 5.9 "Premium" 19 13
34328 "Aston Martin" "V8 Vantage" 2014 "Two Seaters" "Manual" "Rear-Wheel Drive" 8 4.7 "Premium" 19 13
34329 "Aston Martin" "V8 Vantage" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 8 4.7 "Premium" 21 14
34330 "Aston Martin" "V8 Vantage S" 2014 "Two Seaters" "Manual" "Rear-Wheel Drive" 8 4.7 "Premium" 19 13
34331 "Aston Martin" "V8 Vantage S" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 8 4.7 "Premium" 21 14
33449 "Aston Martin" "Vanquish" 2014 "Minicompact Cars" "Automatic" "Rear-Wheel Drive" 12 5.9 "Premium" 19 13
33799 "Audi" "A4" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 2 "Premium" 32 24
33798 "Audi" "A4 quattro" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium or E85" 29 20
33800 "Audi" "A4 quattro" 2014 "Compact Cars" "Manual" "All-Wheel Drive" 4 2 "Premium" 32 22
33783 "Audi" "A5 Cabriolet" 2014 "Subcompact Cars" "Automatic" "Front-Wheel Drive" 4 2 "Premium" 32 24
33782 "Audi" "A5 Cabriolet quattro" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium or E85" 29 20
33781 "Audi" "A5 quattro" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium or E85" 29 20
33784 "Audi" "A5 quattro" 2014 "Subcompact Cars" "Manual" "All-Wheel Drive" 4 2 "Premium" 32 22
33834 "Audi" "A6" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2 "Premium" 33 25
33833 "Audi" "A6 quattro" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 27 18
33835 "Audi" "A6 quattro" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 29 20
33933 "Audi" "A6 quattro" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Diesel" 38 24
33825 "Audi" "A7 quattro" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Diesel" 38 24
33832 "Audi" "A7 quattro" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 18
33826 "Audi" "A8" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 28 17
33831 "Audi" "A8" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 18
33433 "Audi" "A8 L" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Diesel" 36 24
33849 "Audi" "A8 L" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 26 16
33850 "Audi" "A8 L" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 18
33851 "Audi" "A8 L" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 12 6.3 "Premium" 21 13
33441 "Audi" "R8" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 10 5.2 "Premium" 22 13
33443 "Audi" "R8" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 8 4.2 "Premium" 23 14
33445 "Audi" "R8" 2014 "Two Seaters" "Manual" "All-Wheel Drive" 10 5.2 "Premium" 19 12
33447 "Audi" "R8" 2014 "Two Seaters" "Manual" "All-Wheel Drive" 8 4.2 "Premium" 20 11
33440 "Audi" "R8 Spyder" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 10 5.2 "Premium" 22 13
33442 "Audi" "R8 Spyder" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 8 4.2 "Premium" 23 14
33444 "Audi" "R8 Spyder" 2014 "Two Seaters" "Manual" "All-Wheel Drive" 10 5.2 "Premium" 19 12
33446 "Audi" "R8 Spyder" 2014 "Two Seaters" "Manual" "All-Wheel Drive" 8 4.2 "Premium" 20 11
33638 "Audi" "RS 5" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 8 4.2 "Premium" 23 16
33911 "Audi" "RS 5 Cabriolet" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 8 4.2 "Premium" 22 16
33830 "Audi" "RS 7" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 27 16
33796 "Audi" "S4" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 18
33797 "Audi" "S4" 2014 "Compact Cars" "Manual" "All-Wheel Drive" 6 3 "Premium" 26 17
33778 "Audi" "S5" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 18
33780 "Audi" "S5" 2014 "Subcompact Cars" "Manual" "All-Wheel Drive" 6 3 "Premium" 26 17
33779 "Audi" "S5 Cabriolet" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 26 18
33829 "Audi" "S6" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 27 17
33828 "Audi" "S7" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 27 17
33827 "Audi" "S8" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 26 15
33639 "Audi" "TT Coupe quattro" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 31 22
33613 "Audi" "TT Roadster quattro" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 4 2 "Premium" 31 22
33855 "Audi" "allroad quattro" 2014 "Station Wagons" "Automatic" "All-Wheel Drive" 4 2 "Premium or E85" 27 20
34695 "BMW" "228i" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 36 23
34725 "BMW" "228i" 2014 "Subcompact Cars" "Manual" "Rear-Wheel Drive" 4 2 "Premium" 34 22
34046 "BMW" "320i" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 36 24
34158 "BMW" "320i" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 4 2 "Premium" 36 23
34047 "BMW" "320i xDrive" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 35 23
34050 "BMW" "328d" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Diesel" 45 32
34051 "BMW" "328d xDrive" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Diesel" 43 31
34101 "BMW" "328d xDrive Sports Wagon" 2014 "Station Wagons" "Automatic" "All-Wheel Drive" 4 2 "Diesel" 43 31
34155 "BMW" "328i" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 35 23
34156 "BMW" "328i" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 4 2 "Premium" 34 22
34157 "BMW" "328i xDrive" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
34192 "BMW" "328i xDrive Gran Turismo" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
33522 "BMW" "328i xDrive Sports Wagon" 2014 "Station Wagons" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
34048 "BMW" "335i" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 32 22
34142 "BMW" "335i" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 6 3 "Premium" 30 20
34049 "BMW" "335i xDrive" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 30 20
34159 "BMW" "335i xDrive" 2014 "Compact Cars" "Manual" "All-Wheel Drive" 6 3 "Premium" 28 20
34096 "BMW" "335i xDrive Gran Turismo" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 30 20
