"preferred" "price"
"Apples" 3
"Oranges" 0.35
"Apples" 2
"Oranges" 54
"Oranges" 10
"Oranges" 3
"Apples" 2
"Apples" 1.5
"Apples" 2.5
"Apples" 1.3
"Oranges" 1.5
"Apples" 1
"Apples" 2.49
"Apples" 2
"Apples" 2.25
"Oranges" 1.5
"Oranges" 1.5
"Apples" 2.75
"Apples" 4
"Oranges" 2
"Oranges" 10
"Apples" 1.75
"Apples" 5
"Apples" 0.01
"Apples" 2.5
"Oranges" 2
"Oranges" 5
"Apples" 2
"Apples" 3
"Apples" 4
"Apples" 3
"Apples" 2
"Apples" 1
"Apples" 1.05
"Apples" 1.49
"Apples" 3
"Oranges" 1
"Apples" 3
"Apples" 2
"Oranges" 1
"Apples" 1.75
"Oranges" 1
"Apples" 3
"Oranges" 5
"Apples" 1
"Apples" 1
"Oranges" 3
"Apples" 2
"Oranges" 1.25
"Oranges" 2
"Apples" 5
"Apples" 3
"Oranges" 1.69
"Oranges" 2
"Oranges" 4
"Apples" 4
"Apples" 3.25
"Oranges" 1
"Apples" 0.25
"Oranges" 1.2
"Apples" 4
"Apples" 10
"Apples" 2
"Apples" 2
"Apples" 2.75
"Oranges" 1.99
"Apples" 1
"Apples" 3
"Apples" 2
"Apples" 2
"Apples" 2
"Oranges" 3.5
"Oranges" 3
"Apples" 3
"Apples" 4
"Oranges" 129
"Apples" 2.25
"Apples" 2.99
"Apples" 5
"Apples" 2.25
"Apples" 1.5
"Oranges" 2
"Oranges" 5
"Apples" 1
"Apples" 1.5
"Apples" 3
"Apples" 1.49
"Apples" 4
"Apples" 2
"Oranges" 1.29
"Apples" 3
"Apples" 2.5
"Oranges" 12
"Apples" 2.5
"Apples" 2
"Apples" 3.15
"Apples" 1.5
"Apples" 1.25
"Oranges" 2.5
"Apples" 1
"Oranges" 2
"Oranges" 1.25
"Apples" 2
"Oranges" 0.75
"Oranges" 10
"Apples" 5
"Oranges" 3.99
"Oranges" 2
"Oranges" 3.99
"Apples" 4
"Oranges" 3
"Oranges" 5
"Oranges" 2
"Apples" 3
"Apples" 0.99
"Apples" 0.5
"Oranges" 2
"Oranges" 1.5
"Apples" 1.5
"Apples" 2
"Apples" 0.01
"Oranges" 0.75
"Apples" 2
"Apples" 1.25
"Oranges" 10
"Oranges" 10.5
"Apples" 2
"Oranges" 0.79
"Oranges" 0.5
"Apples" 3
"Oranges" 3
"Apples" 4
"Oranges" 1
"Oranges" 1
"Oranges" 1000
"Oranges" 0.89
"Oranges" 1.79
"Oranges" 0.88
"Oranges" 4.5
"Oranges" 2.5
"Oranges" 2.5
"Oranges" 3
"Apples" 2.5
"Oranges" 2.5
"Oranges" 12
"Apples" 2
"Apples" 2
"Apples" 2.5
"Oranges" 2
"Apples" 3
