"Height" "Race"
168.4 "White"
166.7 "White"
166.7 "White"
166.7 "White"
148.1 "Mexican"
170.7 "White"
170.7 "White"
157.1 "White"
152 "Other"
175.8 "White"
145.1 "Other"
145.1 "Other"
163.8 "Mexican"
163.8 "Mexican"
154.8 "Hispanic"
169.6 "Black"
166.5 "Black"
166.5 "Black"
151 "Mexican"
167.2 "White"
167.2 "White"
167.2 "White"
165.5 "Hispanic"
149.7 "Mexican"
149.7 "Mexican"
164.4 "White"
164.4 "White"
164.4 "White"
154.3 "White"
154.3 "White"
162 "White"
162 "White"
162 "White"
160.1 "White"
160.1 "White"
160.1 "White"
156.7 "White"
156.7 "White"
169.8 "White"
155.2 "Black"
155.2 "Black"
173.8 "White"
173.8 "White"
173.8 "White"
155.1 "Other"
176.9 "Black"
148.2 "Mexican"
147.6 "Hispanic"
155.1 "Other"
155.1 "Other"
155.1 "Other"
155.1 "Other"
163.4 "Black"
150.6 "Mexican"
145.8 "White"
162.6 "White"
162.4 "White"
162.4 "White"
162.4 "White"
157.7 "Black"
157.7 "Black"
157.3 "Black"
158.2 "White"
156.6 "Other"
165.2 "White"
165.2 "White"
150 "Other"
154 "Other"
154 "Other"
166 "White"
172.7 "White"
167.8 "White"
166.9 "White"
158.7 "Mexican"
154.8 "White"
162.4 "White"
162.4 "White"
160.8 "White"
160.8 "White"
159.5 "White"
159.5 "White"
160.6 "White"
160.6 "White"
159.6 "Mexican"
164.9 "White"
163.7 "Mexican"
173.1 "White"
175 "Black"
152.7 "White"
158.8 "White"
161.8 "White"
161.3 "White"
166 "White"
166 "White"
154.1 "Hispanic"
156.8 "White"
162.7 "White"
162.8 "Black"
162.8 "Black"
165.3 "White"
165.3 "White"
165.3 "White"
151.7 "White"
151.7 "White"
159.1 "White"
159.1 "White"
155.6 "White"
159.8 "Mexican"
146.6 "White"
160.5 "White"
167.2 "Black"
170 "White"
170 "White"
171.7 "White"
159.8 "White"
166.5 "Black"
169.8 "White"
158.3 "White"
158.3 "White"
161.6 "Other"
161.6 "Other"
161.6 "Other"
173.3 "White"
173.3 "White"
163.7 "White"
163.7 "White"
163.7 "White"
163.7 "White"
149 "Black"
156.8 "Black"
163.4 "Mexican"
154.8 "White"
162.8 "White"
162.8 "White"
173.5 "White"
156.1 "Other"
159.5 "White"
167.8 "White"
167.8 "White"
167.8 "White"
167 "White"
163.4 "White"
164.2 "White"
168.5 "Black"
168.5 "Black"
164.5 "Other"
154.7 "White"
148.9 "Hispanic"
160.9 "White"
164.7 "Black"
166.6 "White"
160.8 "White"
165.9 "Mexican"
165.6 "White"
167.2 "White"
163.6 "White"
167.8 "White"
169.6 "White"
149.7 "Black"
143.6 "Hispanic"
161.9 "White"
160.4 "Black"
160.7 "White"
160.7 "White"
154.6 "Mexican"
165.8 "White"
165.8 "White"
165.8 "White"
156.7 "White"
160.9 "White"
160.9 "White"
162 "Mexican"
158.6 "White"
158.6 "White"
148.1 "Hispanic"
148.1 "Hispanic"
148.1 "Hispanic"
161.9 "White"
161.9 "White"
169.6 "White"
155.1 "White"
155.1 "White"
155.1 "White"
158.8 "White"
158.8 "White"
151.4 "White"
163.5 "White"
158.6 "White"
161.7 "White"
161.7 "White"
NA "White"
156.5 "White"
156.5 "White"
168.7 "White"
164 "White"
164 "White"
170.4 "White"
170.4 "White"
170.4 "White"
159.1 "White"
170.6 "White"
175.8 "White"
159.8 "Mexican"
155.3 "White"
164.2 "White"
164.2 "White"
165.3 "White"
165.3 "White"
163.8 "Black"
152.3 "White"
165.3 "Hispanic"
166.4 "White"
166.4 "White"
162.5 "White"
162.5 "White"
NA "White"
157.2 "Black"
156.7 "White"
160.5 "White"
167.6 "White"
167.6 "White"
167.6 "White"
167.6 "White"
161.8 "White"
137.3 "Black"
168.2 "White"
156.4 "White"
149 "Black"
160.9 "White"
159.2 "White"
176.5 "White"
173.9 "Black"
173.9 "Black"
168.6 "White"
165.4 "Black"
165.4 "Black"
176.5 "White"
176.5 "White"
156.2 "White"
156.2 "White"
173.7 "Black"
172.6 "White"
163.6 "White"
163.6 "White"
152.7 "White"
161.7 "White"
167.9 "White"
167.9 "White"
164.4 "Black"
170.9 "Black"
162.6 "White"
162.6 "White"
162.6 "White"
151.6 "White"
151.6 "White"
151.6 "White"
167.6 "White"
168.7 "White"
158.8 "White"
162.7 "White"
149.4 "Mexican"
149.4 "Mexican"
168.9 "White"
167.5 "White"
163.4 "Black"
170 "White"
170 "White"
170 "White"
151.7 "White"
151.7 "White"
143.3 "White"
165.6 "Black"
165.6 "Black"
164.8 "White"
164.8 "White"
172 "White"
156.5 "White"
157.6 "White"
157.9 "White"
158.8 "Black"
159.2 "Other"
159.2 "Other"
159.1 "Black"
167.7 "Other"
167.7 "Other"
171.4 "Hispanic"
171.4 "Hispanic"
155.1 "White"
155.1 "White"
171.1 "Other"
174.3 "White"
174.3 "White"
174.3 "White"
161.6 "White"
148 "White"
148 "White"
159.7 "White"
159.7 "White"
159.7 "White"
159.7 "White"
164.3 "White"
169.2 "White"
169.2 "White"
161.2 "Mexican"
161.2 "Mexican"
156.6 "Mexican"
164.9 "White"
164.9 "White"
159.2 "White"
159.2 "White"
159.8 "White"
152.1 "Other"
163.4 "White"
157.3 "White"
178.9 "White"
178.9 "White"
156.4 "White"
154.7 "Mexican"
152.3 "White"
158.7 "White"
158.7 "White"
158.7 "White"
158.7 "White"
160.2 "White"
155.6 "White"
155.6 "White"
161.6 "Mexican"
173.1 "White"
173.1 "White"
162.1 "White"
162.1 "White"
162.8 "Black"
162.4 "Black"
162.4 "Black"
150.6 "White"
160.5 "Black"
147.1 "Hispanic"
156.2 "White"
164.2 "White"
157.8 "Other"
158.8 "Black"
156.1 "Mexican"
158 "White"
144.9 "Other"
164.5 "Other"
166.8 "Mexican"
152.2 "Hispanic"
174 "Mexican"
163.4 "White"
166.6 "White"
150.8 "White"
150.8 "White"
160.7 "Mexican"
168.4 "White"
167.5 "Mexican"
159.9 "White"
157.3 "White"
170.6 "White"
157.4 "White"
157.4 "White"
174.6 "White"
174.6 "White"
180.6 "White"
159.1 "Mexican"
168 "White"
168 "White"
168 "White"
168 "White"
168 "White"
146.6 "White"
146.6 "White"
159.6 "White"
161.7 "White"
169.1 "White"
169.8 "White"
169.8 "White"
165.4 "White"
165.4 "White"
148.7 "Mexican"
159.5 "Mexican"
159.5 "Mexican"
153.1 "White"
157.3 "White"
156.6 "Black"
165.6 "White"
153.1 "White"
153.1 "White"
153.1 "White"
153.1 "White"
166.5 "White"
171.2 "Black"
168.1 "Black"
168.1 "Black"
167.8 "White"
160.7 "Hispanic"
160.9 "White"
156.2 "White"
170.6 "White"
170.6 "White"
169.6 "White"
169.6 "White"
169.6 "White"
160.7 "Black"
158.1 "White"
158.1 "White"
158.1 "White"
153 "Mexican"
176.8 "White"
176.8 "White"
156.6 "White"
154.3 "White"
166.4 "White"
168 "White"
168 "White"
163.5 "Black"
158 "White"
139.8 "Mexican"
158.2 "White"
155.6 "Mexican"
169.4 "White"
152.7 "White"
152.7 "White"
157.3 "White"
